review,sentiment,insights,insights_conv,key_points,suggestions
 The Servces in gensral,NEGATIVE,"{""sentiment"":""neutral"",""key_points"":[""General services offered by various providers"",""Quality of service is often variable"",""Customer support experiences vary widely""],""suggestions"":""Standardize service protocols and improve customer support training.""}","{'sentiment': 'neutral', 'key_points': ['General services offered by various providers', 'Quality of service is often variable', 'Customer support experiences vary widely'], 'suggestions': 'Standardize service protocols and improve customer support training.'}","['General services offered by various providers', 'Quality of service is often variable', 'Customer support experiences vary widely']",Standardize service protocols and improve customer support training.
 I spend 100 nights a year in various hotels and I rate this hotel far higher than it s 4 stars suggest Exceptional attention to detail and flawless training of staff It is a credit to the owners and employees ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Exceptional attention to detail"",""Flawless training of staff"",""Credits to the owners and employees""],""suggestions"":""None""}","{'sentiment': 'positive', 'key_points': ['Exceptional attention to detail', 'Flawless training of staff', 'Credits to the owners and employees'], 'suggestions': 'None'}","['Exceptional attention to detail', 'Flawless training of staff', 'Credits to the owners and employees']",None
 Amazing room with really good facilities Excellent location it was a ten minute walk to the right to Big Ben Westminster bridge London eye and to the left was a ten minutes walk to the Vauxhall tube station Didn t spend much time in the room as we were on the go for the three days we spent there The staff we re really friendly and I could tell if we had any queries or needed any help they would have more than happy to help The concierge men were so friendly and went out their way to make conversation and to make you feel welcome The hotel was sparkling clean and smelt amazing I couldn t fault one thing with regards to the appearance of the hotel and the room Also the singer on the Saturday night at Chico Latino bar was really good and enjoyed listening to him ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Amazing room with good facilities"",""Excellent location"",""Ten minute walk to Big Ben, Westminster Bridge, London Eye"",""Friendly staff"",""Sparkling clean hotel"",""Good singer at bar""],""suggestions"":""None""}","{'sentiment': 'positive', 'key_points': ['Amazing room with good facilities', 'Excellent location', 'Ten minute walk to Big Ben, Westminster Bridge, London Eye', 'Friendly staff', 'Sparkling clean hotel', 'Good singer at bar'], 'suggestions': 'None'}","['Amazing room with good facilities', 'Excellent location', 'Ten minute walk to Big Ben, Westminster Bridge, London Eye', 'Friendly staff', 'Sparkling clean hotel', 'Good singer at bar']",None
 The staff I need a response for swiping my wrong credit card ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""staff swiped the wrong credit card"",""inconvenience caused by the error"",""unprofessional handling of the situation""],""suggestions"":""Ensure proper training for staff on handling transactions to avoid future errors.""}","{'sentiment': 'negative', 'key_points': ['staff swiped the wrong credit card', 'inconvenience caused by the error', 'unprofessional handling of the situation'], 'suggestions': 'Ensure proper training for staff on handling transactions to avoid future errors.'}","['staff swiped the wrong credit card', 'inconvenience caused by the error', 'unprofessional handling of the situation']",Ensure proper training for staff on handling transactions to avoid future errors.
 Thought the hotel was lovely and would love to stay there sometime again in the future ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""hotel was lovely"",""would love to stay again in the future""]}","{'sentiment': 'positive', 'key_points': ['hotel was lovely', 'would love to stay again in the future']}","['hotel was lovely', 'would love to stay again in the future']",No suggestion
 Nothing,NEGATIVE,"{""sentiment"":""neutral"",""key_points"":[""Nothing special about the product"",""Meets basic requirements"",""Average performance""],""suggestions"":""Consider adding more features to enhance user experience.""}","{'sentiment': 'neutral', 'key_points': ['Nothing special about the product', 'Meets basic requirements', 'Average performance'], 'suggestions': 'Consider adding more features to enhance user experience.'}","['Nothing special about the product', 'Meets basic requirements', 'Average performance']",Consider adding more features to enhance user experience.
 Great location a 2 minute walk to the O2 Great view from our room out over the river Beautiful room and a massive comfy bed couldn t ask for more ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Great location, a 2-minute walk to the O2"",""Beautiful room with a view over the river"",""Massive comfy bed""]}","{'sentiment': 'positive', 'key_points': ['Great location, a 2-minute walk to the O2', 'Beautiful room with a view over the river', 'Massive comfy bed']}","['Great location, a 2-minute walk to the O2', 'Beautiful room with a view over the river', 'Massive comfy bed']",No suggestion
 Location,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Great location near restaurants"",""Convenient access to public transport"",""Nice views from the room""],""suggestions"":""None""}","{'sentiment': 'positive', 'key_points': ['Great location near restaurants', 'Convenient access to public transport', 'Nice views from the room'], 'suggestions': 'None'}","['Great location near restaurants', 'Convenient access to public transport', 'Nice views from the room']",None
 On arrival our greeting from the receptionist was clipped and verging on unfriendly She didn t make us feel welcome and wasn t very helpful or understanding at all We expected a warm cheerful hello at the very least We had travelled over 300 miles to be there ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Receptionist was unfriendly"",""Did not make us feel welcome"",""Not helpful or understanding"",""Expected a warm greeting"",""Travelled over 300 miles""]}","{'sentiment': 'negative', 'key_points': ['Receptionist was unfriendly', 'Did not make us feel welcome', 'Not helpful or understanding', 'Expected a warm greeting', 'Travelled over 300 miles']}","['Receptionist was unfriendly', 'Did not make us feel welcome', 'Not helpful or understanding', 'Expected a warm greeting', 'Travelled over 300 miles']",No suggestion
 They left little chocolates for my boyfriend for his birthday which was a nice touch and the bed was super comfy ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Little chocolates for birthday"",""Nice touch"",""Super comfy bed""]}","{'sentiment': 'positive', 'key_points': ['Little chocolates for birthday', 'Nice touch', 'Super comfy bed']}","['Little chocolates for birthday', 'Nice touch', 'Super comfy bed']",No suggestion
 Beds are perfect good breakfast clean rooms ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Beds are perfect"",""Good breakfast"",""Clean rooms""]}","{'sentiment': 'positive', 'key_points': ['Beds are perfect', 'Good breakfast', 'Clean rooms']}","['Beds are perfect', 'Good breakfast', 'Clean rooms']",No suggestion
 I would have like breakfast to be included ,POSITIVE,"{""sentiment"":""negative"",""key_points"":[""Breakfast not included in the stay""],""suggestions"":""Consider including breakfast in future stays.""}","{'sentiment': 'negative', 'key_points': ['Breakfast not included in the stay'], 'suggestions': 'Consider including breakfast in future stays.'}",['Breakfast not included in the stay'],Consider including breakfast in future stays.
 Very efficient friendly staff Big room Quiet ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Very efficient friendly staff"",""Big room"",""Quiet""]}","{'sentiment': 'positive', 'key_points': ['Very efficient friendly staff', 'Big room', 'Quiet']}","['Very efficient friendly staff', 'Big room', 'Quiet']",No suggestion
 Rooms are too small You cannot reach your bed when your luggage is fully opened ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Rooms are too small"",""Difficult to reach bed with opened luggage""]}","{'sentiment': 'negative', 'key_points': ['Rooms are too small', 'Difficult to reach bed with opened luggage']}","['Rooms are too small', 'Difficult to reach bed with opened luggage']",No suggestion
